__table__,__schema__,version,id,email,password_hash,full_name,phone,is_active,is_admin,role,created_at,updated_at,last_login,inserted_at,name,hash,executed_at
schema_migrations,auth,20171026211738,,,,,,,,,,,,,,,
schema_migrations,auth,20171026211808,,,,,,,,,,,,,,,
schema_migrations,auth,20171026211834,,,,,,,,,,,,,,,
schema_migrations,auth,20180103212743,,,,,,,,,,,,,,,
schema_migrations,auth,20180108183307,,,,,,,,,,,,,,,
schema_migrations,auth,20180119214651,,,,,,,,,,,,,,,
schema_migrations,auth,20180125194653,,,,,,,,,,,,,,,
schema_migrations,auth,00,,,,,,,,,,,,,,,
schema_migrations,auth,20210710035447,,,,,,,,,,,,,,,
schema_migrations,auth,20210722035447,,,,,,,,,,,,,,,
schema_migrations,auth,20210730183235,,,,,,,,,,,,,,,
schema_migrations,auth,20210909172000,,,,,,,,,,,,,,,
schema_migrations,auth,20210927181326,,,,,,,,,,,,,,,
schema_migrations,auth,20211122151130,,,,,,,,,,,,,,,
schema_migrations,auth,20211124214934,,,,,,,,,,,,,,,
schema_migrations,auth,20211202183645,,,,,,,,,,,,,,,
schema_migrations,auth,20220114185221,,,,,,,,,,,,,,,
schema_migrations,auth,20220114185340,,,,,,,,,,,,,,,
schema_migrations,auth,20220224000811,,,,,,,,,,,,,,,
schema_migrations,auth,20220323170000,,,,,,,,,,,,,,,
schema_migrations,auth,20220429102000,,,,,,,,,,,,,,,
schema_migrations,auth,20220531120530,,,,,,,,,,,,,,,
schema_migrations,auth,20220614074223,,,,,,,,,,,,,,,
schema_migrations,auth,20220811173540,,,,,,,,,,,,,,,
schema_migrations,auth,20221003041349,,,,,,,,,,,,,,,
schema_migrations,auth,20221003041400,,,,,,,,,,,,,,,
schema_migrations,auth,20221011041400,,,,,,,,,,,,,,,
schema_migrations,auth,20221020193600,,,,,,,,,,,,,,,
schema_migrations,auth,20221021073300,,,,,,,,,,,,,,,
schema_migrations,auth,20221021082433,,,,,,,,,,,,,,,
schema_migrations,auth,20221027105023,,,,,,,,,,,,,,,
schema_migrations,auth,20221114143122,,,,,,,,,,,,,,,
schema_migrations,auth,20221114143410,,,,,,,,,,,,,,,
schema_migrations,auth,20221125140132,,,,,,,,,,,,,,,
schema_migrations,auth,20221208132122,,,,,,,,,,,,,,,
schema_migrations,auth,20221215195500,,,,,,,,,,,,,,,
schema_migrations,auth,20221215195800,,,,,,,,,,,,,,,
schema_migrations,auth,20221215195900,,,,,,,,,,,,,,,
schema_migrations,auth,20230116124310,,,,,,,,,,,,,,,
schema_migrations,auth,20230116124412,,,,,,,,,,,,,,,
schema_migrations,auth,20230131181311,,,,,,,,,,,,,,,
schema_migrations,auth,20230322519590,,,,,,,,,,,,,,,
schema_migrations,auth,20230402418590,,,,,,,,,,,,,,,
schema_migrations,auth,20230411005111,,,,,,,,,,,,,,,
schema_migrations,auth,20230508135423,,,,,,,,,,,,,,,
schema_migrations,auth,20230523124323,,,,,,,,,,,,,,,
